family_name,ForAudioClassification,ForAudioFrameClassification,ForAudioTokenization,ForAudioXVector,ForCTC,ForCausalImageModeling,ForCausalLM,ForClassification,ForConditionalGeneration,ForContrastiveLearning,ForDepthEstimation,ForDocumentQuestionAnswering,ForEntityClassification,ForEntityPairClassification,ForEntitySpanClassification,ForGeneration,ForImageAndTextRetrieval,ForImageClassification,ForImageClassificationConvProcessing,ForImageClassificationFourier,ForImageClassificationLearned,ForImageClassificationWithTeacher,ForImageMatting,ForImageSegmentation,ForImageSuperResolution,ForImageTextRetrieval,ForImageTextToText,ForImageToImage,ForImagesAndTextClassification,ForInstanceSegmentation,ForKeypointDetection,ForKeypointMatching,ForMaskGeneration,ForMaskedImageModeling,ForMaskedLM,ForMultimodalAutoencoding,ForMultimodalLM,ForMultipleChoice,ForNextSentencePrediction,ForObjectDetection,ForOpticalFlow,ForPoseEstimation,ForPreTraining,ForPrediction,ForPredictionHead,ForPretraining,ForProteinFolding,ForProteinText2Text,ForQuestionAnswering,ForQuestionAnsweringHead,ForQuestionAnsweringSimple,ForRegionToPhraseAlignment,ForRegression,ForRetrieval,ForSceneTextRecognition,ForSegmentation,ForSemanticSegmentation,ForSeq2SeqLM,ForSequenceClassification,ForSpeechSeq2Seq,ForSpeechToSpeech,ForSpeechToText,ForTableQuestionAnswering,ForTableRecognition,ForTextEncoding,ForTextRecognition,ForTextToSpectrogram,ForTextToSpeech,ForTextToText,ForTextToWaveform,ForTimeSeriesClassification,ForTimeSeriesPrediction,ForTokenClassification,ForUniversalSegmentation,ForVideoClassification,ForVideoGrounding,ForVisionText2Text,ForVisualQuestionAnswering,ForVisualReasoning,ForXVector,ForZeroShotImageClassification,ForZeroShotObjectDetection
afmoe,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aimv2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
albert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,X,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,
align,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
altclip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
apertus,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
arcee,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,
aria,,,,,,,X,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audio_spectrogram_transformer,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
audioflamingo3,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
auto,X,X,X,X,X,,X,,,,X,X,,,,,,X,,,,,,X,,,X,X,,X,X,X,X,X,X,,X,X,X,X,,,X,,,,,,X,,,,,,,,X,X,X,X,,,X,X,X,X,X,,,X,,X,X,X,X,,,X,,,X,X
autoformer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aya_vision,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bamba,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
